Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2023-01-03,123.76846313476562,129.53778770648333,122.87782744316272,128.92424454671203,112117500
2023-01-04,125.0450210571289,127.32108886853533,123.77834272904124,125.56950434454036,89113600
2023-01-05,123.71897888183594,126.44036106917035,123.46169000194207,125.80702181866339,80962700
2023-01-06,128.27110290527344,128.93412872931725,123.59032994150238,124.6986773645302,87754700
2023-01-09,128.7955780029297,132.02166222689684,128.53828914886986,129.11225514638548,70790800
2023-01-10,129.36953735351562,129.89402063291897,126.78669804739879,128.90442726046035,63896200
2023-01-11,132.100830078125,132.1206110743782,129.1023632460795,129.88413539800015,69458900
2023-01-12,132.0216522216797,132.8627975077432,130.07215211751455,132.4867623033838,71379600
2023-01-13,133.3575897216797,133.51592827611222,130.28985950452656,130.6560041991556,57809700
2023-01-17,134.52532958984375,135.86127162359787,132.7341679468124,133.42688030875863,63646600
2023-01-18,133.80294799804688,137.16755996413974,133.62481331043077,135.39619418728472,69672800
2023-01-19,133.86231994628906,134.8321173698302,132.37792966331844,132.68470123913258,58280400
2023-01-20,136.43524169921875,136.583689774084,132.8232317107928,133.8721983331851,80223600
2023-01-23,139.6415557861328,141.82856432193728,136.46495363412728,136.68266543769153,81760300
2023-01-24,141.04676818847656,141.67021696013663,138.83997878878998,138.8498692883404,66435100
2023-01-25,140.38372802734375,140.94778844428123,137.36546497180777,139.4238211686979,65799300
2023-01-26,142.46189880371094,142.7488742986824,140.42332333943187,141.68011141740982,54105100
2023-01-27,144.41136169433594,145.69783617068458,141.5910294846458,141.67019877088234,70555800
2023-01-30,141.51187133789062,144.03533779783174,141.36343835201114,143.45148125337437,64015300
2023-01-31,142.7884521484375,142.8379348478305,140.7993744728372,141.21500196773877,65874500
2023-02-01,143.91656494140625,145.0842930380827,139.84935044958516,142.47176699297287,77663600
2023-02-02,149.25050354003906,149.60674271507267,146.62807162382762,147.35047067319957,118339000
2023-02-03,152.89218139648438,155.74221524092275,146.29159518314714,146.48951084456712,154357300
2023-02-06,150.15103149414062,151.5067849832526,149.21092060169065,150.98230158746472,69858300
2023-02-07,153.04063415527344,153.61460021760152,149.072369515728,149.072369515728,83322600
2023-02-08,150.33905029296875,152.97137275977542,149.5968551305232,152.2786602948261,64120100
2023-02-09,149.2999725341797,152.7239728262669,148.8546584612201,152.17969335931676,56007100
2023-02-10,149.66668701171875,149.99375331566142,147.89261658821053,148.1304871155474,57450700
2023-02-13,152.48143005371094,152.88777139634084,149.5774860679603,149.6072179924685,62199000
2023-02-14,151.83718872070312,152.40212547908195,149.51800808989614,150.76679417039543,61707600
2023-02-15,153.94825744628906,154.11674338956908,151.52005454611242,151.74800433724963,65573800
2023-02-16,152.34266662597656,154.93935535973205,151.985868430853,152.14443364408874,68167900
2023-02-17,151.19297790527344,151.63897185671203,149.50810346480944,150.99476005163993,59144100
2023-02-21,147.15919494628906,149.95411695272674,147.08982549385345,148.8638959311259,58867200
2023-02-22,147.5853729248047,148.61611493809133,145.8509400709552,147.54572027637772,51011300
2023-02-23,148.07101440429688,149.00265510528632,145.93024005993672,148.75487896664254,48394200
2023-02-24,145.4049530029297,145.88067894533623,144.4237540688521,145.8013887677593,55469600
2023-02-27,146.60415649414062,147.84303695578296,146.13833623071892,146.39603304549414,44998500
2023-02-28,146.09872436523438,147.75386713786767,145.52388191532287,145.741926124705,50547000
2023-03-01,144.0173797607422,145.92029841797654,143.72004541238144,145.52386270219765,55479000
2023-03-02,144.61204528808594,145.40493182531964,142.61991578386647,143.0956567800384,52238100
2023-03-03,149.68650817871094,149.7657983517578,146.01942463285462,146.72310034368257,70732300
2023-03-06,152.46160888671875,154.9096382410585,152.09490505667793,152.42195623733048,87558000
2023-03-07,150.2514190673828,152.6597952755617,149.78559883301008,152.33272903931797,56182000
2023-03-08,151.5101318359375,152.104800552819,150.47938986613707,151.4506679888601,47204800
2023-03-09,149.25042724609375,153.1652871071905,148.89362901108174,152.19400890417916,53833600
2023-03-10,147.1790313720703,149.5973289873677,146.29694889334849,148.87382687231752,68572400
2023-03-13,149.1315155029297,151.77776306121092,146.38615143201577,146.49517354668907,84457100
2023-03-14,151.23263549804688,152.03542774179175,148.7647949151356,149.93429099292322,73695900
2023-03-15,151.62904357910156,151.88672523798036,148.58634629406274,149.84505291711224,77167900
2023-03-16,154.46363830566406,155.06821263966182,150.29108181642482,150.80646037730506,76161100
2023-03-17,153.62118530273438,155.34571244010942,152.90758890954837,154.69157989251337,98944600
2023-03-20,155.99984741210938,156.41612462417007,152.77875768053804,153.69058715899433,73641400
2023-03-21,157.8631134033203,157.98204109629864,155.14748180357108,155.9205571770909,73938300
2023-03-22,156.426025390625,160.6976833752444,156.40619906612653,157.88295021864405,75701800
2023-03-23,157.51622009277344,160.11292398786247,156.2773395529773,157.41711872342182,67622100
2023-03-24,158.82449340820312,158.91368918214428,156.4458486981132,157.44685878169065,59196500
2023-03-27,156.87200927734375,159.3398647729009,156.46565282812585,158.51724627438185,52390300
2023-03-28,156.2476348876953,157.0801742491977,154.59249201254988,156.56479562027835,45992200
2023-03-29,159.33987426757812,159.6173823169816,157.9325076961592,157.95231889750627,51305700
2023-03-30,160.9157257080078,161.02474780690227,159.83542544272464,160.09310716599592,49501700
2023-03-31,163.43310546875,163.53222195551984,160.46971306479455,160.99499717395898,68749800
2023-04-03,164.69183349609375,164.81076119711048,162.759182739299,162.80874098907415,56976200
2023-04-04,164.15663146972656,165.35585936030904,163.6412529320187,165.1180039760234,46278300
2023-04-05,162.3032684326172,163.58180171406576,160.36071207007467,163.27456173694304,51511700
2023-04-06,163.1952667236328,163.492601091182,160.55892518671305,160.98509285252538,45390100
2023-04-10,160.58865356445312,160.58865356445312,158.65600290264854,159.98407924224205,47716900
2023-04-11,159.36959838867188,160.9157189090824,159.08216962961518,160.90581330889393,47644200
2023-04-12,158.6758270263672,160.6183832614872,158.35866634623534,159.7858591607215,50133100
2023-04-13,164.08726501464844,164.32513554824666,159.98409282917345,160.1922314364538,68445600
2023-04-14,163.74037170410156,164.84049824090104,162.36273713306923,163.1258766656828,49386500
2023-04-17,163.7601776123047,163.91875794761413,162.57085534359018,163.62142359967223,41516200
2023-04-18,164.9891815185547,165.92082224839072,164.17646849957234,164.6224776613853,49923000
2023-04-19,166.1388702392578,166.6641544715295,164.0674501155034,164.32514699227858,47720200
2023-04-20,165.16754150390625,166.37669007657564,164.08724134206236,164.61252546197005,52456400
2023-04-21,163.55206298828125,164.9693351136413,163.0267788318698,163.58179491237593,58337300
2023-04-24,163.8592987060547,164.12690113902568,162.43210589428088,163.5322324264354,41949600
2023-04-25,162.31320190429688,164.83060089270833,162.2735492520383,163.7205685983607,48714100
2023-04-26,162.3032684326172,163.80975151595447,161.3518165759181,161.6094983031377,45498800
2023-04-27,166.91192626953125,167.06058590759594,163.72056830592638,163.72056830592638,64902300
2023-04-28,168.17059326171875,168.3390943239458,166.3866173772678,166.99119168750394,55209200
2023-05-01,168.08139038085938,168.9337407637692,167.13984423211144,167.77415043871505,52472900
2023-05-02,167.04074096679688,168.8346527635164,166.0496364953305,168.57695592218053,48425700
2023-05-03,165.96043395996094,169.39956754565748,165.67302032909086,167.99220106828838,65136000
2023-05-04,164.31520080566406,165.5540813733989,162.84837044792107,163.42321284611648,81235400
2023-05-05,172.0260009765625,172.74950296676494,169.24098486047572,169.45902904213452,113316400
2023-05-08,171.9566192626953,172.30351186374347,170.57898470464832,170.94568850577377,55962800
2023-05-09,170.2420196533203,171.99626368287582,170.0735337075861,171.51063216959898,45326900
2023-05-10,172.01609802246094,172.4819183565725,170.37086089019692,171.48090823595766,53724500
2023-05-11,172.2043914794922,173.03691555552936,170.63844469472525,172.30350796985275,49514700
2023-05-12,171.27146911621094,172.75024761525086,169.7132756322357,172.3135560619337,45497800
2023-05-15,170.77525329589844,171.90667467230108,170.17976198453994,171.85704787235903,37266700
2023-05-16,170.77525329589844,171.83719412358758,170.5072806913898,170.69585344478577,42110300
2023-05-17,171.39056396484375,171.62874834746046,169.13764076744155,170.41794239989213,57951600
2023-05-18,173.73281860351562,173.92139134908305,171.28140319908402,171.69824104214084,65496700
2023-05-19,173.84197998046875,175.06272037880413,173.62363419943688,175.06272037880413,55772400
2023-05-22,172.8892059326172,173.3953780620173,172.14484940723798,172.6708601403215,43570900
2023-05-23,170.26907348632812,172.07538594402806,169.99118159190851,171.8272670994411,50747300
2023-05-24,170.5469512939453,171.1225887831174,169.2368917775998,169.80259482166662,45143500
2023-05-25,171.6883087158203,172.59144973527793,170.39808778863198,171.11267122079872,56058300
2023-05-26,174.10992431640625,174.44737740787394,171.8073896313986,172.01581609542365,54835000
2023-05-30,175.9658660888672,177.64315169617504,175.24136339159378,175.6284281360517,55964400
2023-05-31,175.91624450683594,178.00044866577474,175.42992616469127,175.99564434702103,99625300
2023-06-01,178.73484802246094,178.76462106575883,175.59862288068328,176.3628329945906,68901800
2023-06-02,179.58840942382812,180.41216577183522,177.91112367918484,179.6678092681631,61945900
2023-06-05,178.22872924804688,183.55831715341373,176.70030869345317,181.2557821635985,121946500
2023-06-06,177.86151123046875,178.76465227479207,176.09489120388227,178.61578703231345,64848400
2023-06-07,176.4819793701172,179.84647030311896,175.9857416800345,177.09730925974853,61944600
2023-06-08,179.21127319335938,179.47923062220013,176.12467438732125,176.56135080082998,50214900
2023-06-09,179.5983428955078,180.85877566456503,179.2708242183914,180.13427291189814,48870700
2023-06-12,182.40704345703125,182.50629705263665,179.60827075983389,179.90601640267764,54274900
